ApplicationID,DeptName,Program,Year,ProductName,Glyphosate,ProductType,ProductTier,State,Gallons,Location,Address,Latitude,Longitude,Missing_LL
13226,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,4,Duwamish Waterway Pk,7900 10th Ave South,47.583406,-122.395546,
13224,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,20,Riverview PF,7226 12th Ave SW,47.539329,-122.348855,
13225,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,12,South Park PG,738 S Sullivan St,47.520795,-122.323649,
13225,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,12,South Park PG,738 S Sullivan St,47.520795,-122.323649,
13230,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,6,Greg Davis Pk,26th Ave SW/ SW Brandon St,47.55437,-122.366001,
13768,Parks and Recreation,Unspecified,2007,Tristar 30SG,N,insecticide,Tier 2,S,8,Greenhouse Jefferson,,47.567097,-122.312213,
13229,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,6,South Park PG,738 S Sullivan St,47.520795,-122.323649,
13229,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,6,South Park PG,738 S Sullivan St,47.520795,-122.323649,
13230,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,6,Greg Davis Pk,26th Ave SW/ SW Brandon St,47.55437,-122.366001,
13258,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1.5,Richey Viewpoint,63rd Ave SW / Beach Dr SW,47.573606,-122.416429,
14624,Parks and Recreation,Unspecified,2009,Roundup Pro,Y,Herbicide,Tier 2,L,2,Alvin Larkins Pk,E Pike St / 34th Ave E,47.6143,-122.2887,x
14660,Parks and Recreation,Unspecified,2009,Roundup Pro,Y,Herbicide,Tier 2,L,1,Ballard Parkway,N 57th St / Palatine Ave N,47.6728,-122.3915,x
15778,Parks and Recreation,Developed Park,2010,Surflan AS,N,Herbicide,Tier 2,L,1,Ballard Parkway,N 57th St / Palatine Ave N,47.6728,-122.3915,x
13268,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,3,Roxhill Pk,9244 29th Ave SW,47.519496,-122.368882,
13268,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,3,Roxhill Pk,9244 29th Ave SW,47.519496,-122.368882,
13275,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,6,South Park PG,738 S Sullivan St,47.520795,-122.323649,
13275,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,6,South Park PG,738 S Sullivan St,47.520795,-122.323649,
13769,Parks and Recreation,Unspecified,2007,Tristar 30SG,N,insecticide,Tier 2,S,4,Greenhouse Jefferson,,47.567097,-122.312213,
13259,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,6,Riverview PF,7226 12th Ave SW,47.539329,-122.348855,
13259,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,6,Riverview PF,7226 12th Ave SW,47.539329,-122.348855,
13276,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,3,Riverview PF,7226 12th Ave SW,47.539329,-122.348855,
13276,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,3,Riverview PF,7226 12th Ave SW,47.539329,-122.348855,
13266,Parks and Recreation,Unspecified,2007,Dithane T/O,N,Fungicide,Tier 1,S,375,Jefferson Golf,,47.568067,-122.311441,
13266,Parks and Recreation,Unspecified,2007,Daconil 2787,N,Fungicide,Tier 1,L,375,Jefferson Golf,,47.568067,-122.311441,
13255,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Longfellow Creek NA,Unknown,47.530167,-122.363435,
13256,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1,Longfellow Creek NA,Unknown,47.530167,-122.363435,
13299,Parks and Recreation,Unspecified,2007,Drive 75 DF,N,Herbicide,Tier 1,S,112,Interbay PF,,47.64723939,-122.3791913,
13228,Parks and Recreation,Unspecified,2007,Banner MAXX,N,Fungicide,Tier 1,L,500,Jackson Golf,,47.729889,-122.319111,
15778,Parks and Recreation,Developed Park,2010,Roundup Pro,Y,Herbicide,Tier 2,L,1,Ballard Parkway,N 57th St / Palatine Ave N,47.6728,-122.3915,x
13583,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,6,Ballard PG,1471 NW 67th St,47.6728,-122.3915,x
13480,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,3,Belvedere Viewpoint,3600 Admiral Way SW,47.580672,-122.376895,
13479,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1.5,Roxhill Pk,9244 29th Ave SW,47.519496,-122.368882,
14659,Parks and Recreation,Unspecified,2009,Roundup Pro,Y,Herbicide,Tier 2,L,2,Ballard PG,1471 NW 67th St,47.6728,-122.3915,x
13303,Parks and Recreation,Unspecified,2007,Clearys 3336F,N,Fungicide,Tier 1,L,100,West Seattle Golf,,47.563271,-122.356966,
14768,Parks and Recreation,Unspecified,2009,Roundup Pro,Y,Herbicide,Tier 2,L,8,Ballard PG,1471 NW 67th St,47.6728,-122.3915,x
14905,Parks and Recreation,Unspecified,2009,Surflan AS,N,Herbicide,Tier 2,L,2,Ballard PG,1471 NW 67th St,47.6728,-122.3915,x
13778,Parks and Recreation,Unspecified,2007,B-Nine,N,Plant Growth Regulator,Tier 1,S,3,Greenhouse Jefferson,,47.567097,-122.312213,
13244,Parks and Recreation,Unspecified,2007,Roundup DryPac,Y,Herbicide,No Tier,S,3,Judkins Pk & PF,2150 S Norman St,47.592425,-122.303953,
13298,Parks and Recreation,Unspecified,2007,Trimec 937,N,Herbicide,Tier 1,S,70,Interbay PF,,47.64723939,-122.3791913,
13398,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,4,Washington Park,1075 Lake Washington Blvd. E,47.637765,-122.29537,
13238,Parks and Recreation,Unspecified,2007,Roundup DryPac,Y,Herbicide,No Tier,S,4,Rainier Beach PF,8825 Rainier Ave South,47.667567,-122.359434,
13267,Parks and Recreation,Unspecified,2007,26GT,N,Fungicide,Tier 1,L,375,Jefferson Golf,,47.568067,-122.311441,
13236,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,5,Interbay PF,3027 17th Ave W,47.64723939,-122.3791913,
13297,Parks and Recreation,Unspecified,2007,Trimec 937,N,Herbicide,Tier 1,S,50,Interbay PF,,47.64723939,-122.3791913,
13240,Parks and Recreation,Unspecified,2007,Roundup DryPac,Y,Herbicide,No Tier,S,1,Beacon Hill PG,1902 13th Ave South,47.58622631,-122.3153246,
13236,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,5,Interbay PF,3027 17th Ave W,47.64723939,-122.3791913,
13237,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,15,Interbay PF,3027 17th Ave W,47.64723939,-122.3791913,
13234,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1,Gas Works Pk,2101 N Northlake Way,47.645638,-122.334908,
13237,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,15,Interbay PF,3027 17th Ave W,47.64723939,-122.3791913,
15777,Parks and Recreation,Developed Park,2010,Roundup Pro,Y,Herbicide,Tier 2,L,1.5,Ballard PG,1471 NW 67th St,47.6728,-122.3915,x
15777,Parks and Recreation,Developed Park,2010,Surflan AS,N,Herbicide,Tier 2,L,1.5,Ballard PG,1471 NW 67th St,47.6728,-122.3915,x
13241,Parks and Recreation,Unspecified,2007,Roundup DryPac,Y,Herbicide,No Tier,S,2,Rainier Beach PF,8825 Rainier Ave South,47.667567,-122.359434,
13608,Parks and Recreation,Unspecified,2007,Clearys 3336F,N,Fungicide,Tier 1,L,375,Jackson Golf,,47.729889,-122.319111,
13278,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,3,Belvedere Viewpoint,3600 Admiral Way SW,47.580672,-122.376895,
15900,Parks and Recreation,Developed Park,2011,Element 4,N,Herbicide,Tier 2,L,0.015625,Ballard PG,#N/A,47.6728,-122.3915,x
15746,Parks and Recreation,Developed Park,2011,Roundup Pro,Y,Herbicide,Tier 2,L,3,Ballard PG,1471 NW 67th St,47.6728,-122.3915,x
13280,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Cormorant Cove Pk,3701 Beach Dr SW,47.570984,-122.412089,
13279,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1,Hiawatha PF,2700 California Ave SW,47.57827243,-122.3849647,
13277,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1,Hamilton Viewpoint,1531 California Ave SW,47.59074752,-122.3890697,
13280,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,2,Cormorant Cove Pk,3701 Beach Dr SW,47.570984,-122.412089,
13278,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,3,Belvedere Viewpoint,3600 Admiral Way SW,47.580672,-122.376895,
15568,Parks and Recreation,Developed Park,2010,Roundup Pro,Y,Herbicide,Tier 2,L,3,Beacon Place,S Dearborn St / 11th Ave S,47.5961,-122.3185,x
13408,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Hiawatha PF,2700 California Ave SW,47.57827243,-122.3849647,
13409,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Greg Davis Pk,26th Ave SW/ SW Brandon St,47.55437,-122.366001,
13410,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,5,Greg Davis Pk,26th Ave SW/ SW Brandon St,47.55437,-122.366001,
13410,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,5,Greg Davis Pk,26th Ave SW/ SW Brandon St,47.55437,-122.366001,
13411,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,2,Greg Davis Pk,26th Ave SW/ SW Brandon St,47.55437,-122.366001,
13296,Parks and Recreation,Unspecified,2007,Daconil Weather Stik,N,Fungicide,Tier 1,L,112,Interbay PF,,47.64723939,-122.3791913,
13411,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Greg Davis Pk,26th Ave SW/ SW Brandon St,47.55437,-122.366001,
13716,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Magnolia Blvd,W Emerson St to W Howe St,47.639793,-122.410707,
13699,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Magnolia Pk,1461 Magnolia Blvd W,47.633427,-122.397348,
13699,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,2,Magnolia Pk,1461 Magnolia Blvd W,47.633427,-122.397348,
13700,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,3,Magnolia Blvd,W Emerson St to W Howe St,47.639793,-122.410707,
13716,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,2,Magnolia Blvd,W Emerson St to W Howe St,47.639793,-122.410707,
13717,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1,Magnolia Blvd,W Emerson St to W Howe St,47.639793,-122.410707,
13717,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,1,Magnolia Blvd,W Emerson St to W Howe St,47.639793,-122.410707,
13700,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,3,Magnolia Blvd,W Emerson St to W Howe St,47.639793,-122.410707,
13338,Parks and Recreation,Unspecified,2007,Clearys 3336F,N,Fungicide,Tier 1,L,375,Jackson Golf,,47.729889,-122.319111,
13281,Parks and Recreation,Unspecified,2007,Roundup DryPac,Y,Herbicide,No Tier,S,5,Rainier CC Grounds,4600 38th South,47.667567,-122.359434,
12796,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,3,Northacres Pk & PF,12718 1st Ave NE,47.721559,-122.326993,
15567,Parks and Recreation,Developed Park,2010,Surflan AS,N,Herbicide,Tier 2,L,3,Beacon Place,S Dearborn St / 11th Ave S,47.5961,-122.3185,x
13311,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,10,Gilman PG,923 NW 54th St,47.66729167,-122.369684,
13309,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,4,Ross PG,325 NW 44th St,47.65971791,-122.3613468,
13308,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,4,Condon Way Centerstrip,W McGraw St to W Blaine St,47.638841,-122.396467,
13306,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Interbay PF,3027 17th Ave W,47.64723939,-122.3791913,
15567,Parks and Recreation,Developed Park,2010,Roundup Pro,Y,Herbicide,Tier 2,L,3,Beacon Place,S Dearborn St / 11th Ave S,47.5961,-122.3185,x
15568,Parks and Recreation,Developed Park,2010,Surflan AS,N,Herbicide,Tier 2,L,3,Beacon Place,S Dearborn St / 11th Ave S,47.5961,-122.3185,x
13308,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,4,Condon Way Centerstrip,W McGraw St to W Blaine St,47.638841,-122.396467,
13306,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,2,Interbay PF,3027 17th Ave W,47.64723939,-122.3791913,
13584,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Bitterlake PF,13525 Linden Ave N,47.72420909,-122.3493143,x
13312,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,7,Bitterlake PF,13525 Linden Ave N,47.72420909,-122.3493143,
13313,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,3,Pinehurst PG,12029 14th Ave NE,47.71643622,-122.3146282,
13314,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,10,Maple Leaf PG,1020 NE 82nd St,47.6890145,-122.3156129,
13427,Parks and Recreation,Unspecified,2007,Bayleton 25 WSP,N,Fungicide,Tier 1,S,161,West Seattle Golf,,47.563271,-122.356966,
13867,Parks and Recreation,Unspecified,2007,Attain TR,N,insecticide,Tier 1,L,0.75,Conservatory Volunteer Park,,47.630378,-122.315568,
13323,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1.5,Golden Gardens Park,8800 Seaview Ave NW,47.692105,-122.403269,
13324,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1,Golden Gardens Park,8800 Seaview Ave NW,47.692105,-122.403269,
13726,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,4,Interbay PF,3027 17th Ave W,47.64723939,-122.3791913,
13725,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,3,W Magnolia PF,2518 34th Ave W,47.645634,-122.399373,
13726,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,4,Interbay PF,3027 17th Ave W,47.64723939,-122.3791913,
13725,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,3,W Magnolia PF,2518 34th Ave W,47.645634,-122.399373,
13335,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1.5,Madison Pool Grounds,13401 Meridian Ave N,47.63561,-122.276692,
13337,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,1.5,Maple Leaf PG,1020 NE 82nd St,47.6890145,-122.3156129,
13336,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,0.5,Ross PG,325 NW 44th St,47.65971791,-122.3613468,
13727,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,0.5,Commodore Pk,3330 W Commodore Way,47.66538,-122.40014,
13730,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,0.5,Commodore Pk,3330 W Commodore Way,47.66538,-122.40014,
13355,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,4,Ravenna Pk,Ravenna Ave NE / NE 55th St,47.671402,-122.305705,
13701,Parks and Recreation,Unspecified,2007,Bayleton 25 WSP,N,Fungicide,Tier 1,S,375,Jefferson Golf,,47.568067,-122.311441,
13701,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,375,Jefferson Golf,,47.568067,-122.311441,
13430,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,300,West Seattle Golf,,47.563271,-122.356966,
13435,Parks and Recreation,Unspecified,2007,Banner MAXX,N,Fungicide,Tier 1,L,400,West Seattle Golf,,47.563271,-122.356966,
13348,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,,Bitterlake PF,13525 Linden Ave N,47.72420909,-122.3493143,x
13348,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,,Bitterlake PF,13525 Linden Ave N,47.72420909,-122.3493143,x
14458,Parks and Recreation,Unspecified,2008,Roundup Pro,Y,Herbicide,Tier 2,L,1,Bitterlake PF,13525 Linden Ave N,47.72420909,-122.3493143,x
13412,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,3,Greg Davis Pk,26th Ave SW/ SW Brandon St,47.55437,-122.366001,
13868,Parks and Recreation,Unspecified,2007,Attain TR,N,insecticide,Tier 1,L,0.125,Conservatory Volunteer Park,,47.630378,-122.315568,
